province,year,population,province_norm,atur_annual_mean_pct,n_quarters
Asturias,2008,1071081,asturias,8.5,4
Avila,2008,173290,avila,11.275,4
Badajoz,2008,680675,badajoz,15.8275,4
Illes Balears,2008,1042855,illes balears,10.1875,4
Barcelona,2008,5387706,barcelona,8.6175,4
Bizkaia,2008,1149084,bizkaia,7.917499999999999,4
Burgos,2008,372561,burgos,9.16,4
Caceres,2008,408975,caceres,14.5025,4
Cadiz,2008,1209067,cadiz,19.235,4
Cantabria,2008,577266,cantabria,7.16,4
Castello,2008,588015,castello,10.685,4
Ciudad Real,2008,519759,ciudad real,13.505,4
Cordoba,2008,792681,cordoba,16.322499999999998,4
A Coruna,2008,1128599,a coruna,8.9175,4
Cuenca,2008,214903,cuenca,7.9675,4
Gipuzkoa,2008,699398,gipuzkoa,5.335,4
Girona,2008,719747,girona,10.96,4
Granada,2008,900260,granada,19.3275,4
Guadalajara,2008,237361,guadalajara,8.7575,4
Huelva,2008,505037,huelva,17.705000000000002,4
Huesca,2008,224407,huesca,5.4350000000000005,4
Jaen,2008,663528,jaen,16.4825,4
Leon,2008,493938,leon,9.5325,4
Lleida,2008,423484,lleida,6.555,4
Lugo,2008,352633,lugo,6.282500000000001,4
Madrid,2008,6226195,madrid,8.6,4
Malaga,2008,1529003,malaga,18.1775,4
Murcia,2008,1419567,murcia,12.43,4
Navarra,2008,616711,navarra,6.83,4
Ourense,2008,332808,ourense,6.25,4
Palencia,2008,172709,palencia,9.7075,4
Las Palmas,2008,1040110,las palmas,18.21,4
Pontevedra,2008,940727,pontevedra,9.8875,4
La Rioja,2008,316192,la rioja,7.8925,4
Salamanca,2008,349843,salamanca,11.5125,4
Santa Cruz de Tenerife,2008,951836,santa cruz de tenerife,16.13,4
Segovia,2008,163091,segovia,10.3925,4
Sevilla,2008,1859555,sevilla,15.9575,4
Soria,2008,94470,soria,5.5825,4
Tarragona,2008,780209,tarragona,10.06,4
Teruel,2008,145704,teruel,6.345000000000001,4
Toledo,2008,665283,toledo,12.1325,4
Valencia,2008,2522559,valencia,11.24,4
Valladolid,2008,525651,valladolid,8.8775,4
Zamora,2008,196165,zamora,9.485,4
Zaragoza,2008,955315,zaragoza,7.85,4
Ceuta,2008,75252,ceuta,17.45,4
Melilla,2008,71244,melilla,19.8925,4
Albacete,2009,397881,albacete,19.77,4
Alacant,2009,1836134,alacant,21.9625,4
Almeria,2009,673042,almeria,26.5725,4
Araba,2009,315280,araba,11.7425,4
Asturias,2009,1076280,asturias,13.42,4
Avila,2009,173818,avila,19.02,4
Badajoz,2009,684391,badajoz,21.33,4
Illes Balears,2009,1070164,illes balears,17.97,4
Barcelona,2009,5465841,barcelona,16.2025,4
Bizkaia,2009,1154628,bizkaia,12.51,4
Burgos,2009,374808,burgos,12.6675,4
Caceres,2009,410300,caceres,19.3575,4
Cadiz,2009,1221024,cadiz,26.79,4
Cantabria,2009,584655,cantabria,12.0,4
Castello,2009,594737,castello,19.635,4
Ciudad Real,2009,523964,ciudad real,19.8,4
Cordoba,2009,797328,cordoba,26.0025,4
A Coruna,2009,1135287,a coruna,11.47,4
Cuenca,2009,216435,cuenca,15.982499999999998,4
Gipuzkoa,2009,704173,gipuzkoa,9.2825,4
Girona,2009,735856,girona,18.005,4
Granada,2009,909112,granada,26.2225,4
Guadalajara,2009,245403,guadalajara,13.9125,4
Huelva,2009,510278,huelva,22.505,4
Huesca,2009,226769,huesca,10.8275,4
Jaen,2009,665201,jaen,23.5775,4
Leon,2009,495041,leon,14.6175,4
Lleida,2009,431409,lleida,11.56,4
Lugo,2009,352322,lugo,9.405,4
Madrid,2009,6327594,madrid,13.855,4
Malaga,2009,1552894,malaga,26.1425,4
Murcia,2009,1441783,murcia,20.3275,4
Navarra,2009,627276,navarra,10.8325,4
Ourense,2009,332163,ourense,10.4175,4
Palencia,2009,172665,palencia,14.5925,4
Las Palmas,2009,1056361,las palmas,27.78,4
Pontevedra,2009,947703,pontevedra,15.2525,4
La Rioja,2009,319786,la rioja,12.6475,4
Salamanca,2009,351018,salamanca,15.6375,4
Santa Cruz de Tenerife,2009,969125,santa cruz de tenerife,23.9975,4
Segovia,2009,163374,segovia,12.6975,4
Sevilla,2009,1884107,sevilla,23.5175,4
Soria,2009,94738,soria,10.49,4
Tarragona,2009,793983,tarragona,17.145,4
Teruel,2009,146132,teruel,10.25,4
Toledo,2009,682734,toledo,20.37,4
Valencia,2009,2550405,valencia,20.1875,4
Valladolid,2009,528788,valladolid,12.6375,4
Zamora,2009,194924,zamora,14.205000000000002,4
Zaragoza,2009,969877,zaragoza,13.955,4
Ceuta,2009,76922,ceuta,18.6325,4
Melilla,2009,73361,melilla,23.4675,4
Albacete,2010,399448,albacete,22.665,4
Alacant,2010,1840085,alacant,24.16,4
Almeria,2010,680484,almeria,28.0125,4
Araba,2010,317737,araba,11.34,4
Asturias,2010,1077103,asturias,15.915,4
Avila,2010,173370,avila,23.3175,4
Badajoz,2010,687745,badajoz,23.955,4
