province,year,value
Melilla,2014,682
Albacete,2015,1238
Alacant,2015,21396
Almeria,2015,6562
Araba,2015,1471
Asturias,2015,3238
Avila,2015,512
Badajoz,2015,1293
Illes Balears,2015,11890
Barcelona,2015,57733
Bizkaia,2015,4429
Burgos,2015,1268
Caceres,2015,654
Cadiz,2015,3054
Cantabria,2015,1871
Castello,2015,3433
Ciudad Real,2015,1284
Cordoba,2015,1533
A Coruna,2015,3291
Cuenca,2015,831
Gipuzkoa,2015,3658
Girona,2015,7479
Granada,2015,3701
Guadalajara,2015,1553
Huelva,2015,2132
Huesca,2015,1101
Jaen,2015,1121
Leon,2015,1093
Lleida,2015,3345
Lugo,2015,975
Madrid,2015,62164
Malaga,2015,16595
Murcia,2015,8085
Navarra,2015,3579
Ourense,2015,1120
Palencia,2015,294
Las Palmas,2015,10314
Pontevedra,2015,2416
La Rioja,2015,1553
Salamanca,2015,1173
Santa Cruz de Tenerife,2015,13454
Segovia,2015,650
Sevilla,2015,4596
Soria,2015,323
Tarragona,2015,5469
Teruel,2015,445
Toledo,2015,2618
Valencia,2015,16256
Valladolid,2015,1327
Zamora,2015,364
Zaragoza,2015,4689
Ceuta,2015,368
Melilla,2015,791
Albacete,2016,1522
Alacant,2016,25319
Almeria,2016,7893
Araba,2016,2217
Asturias,2016,4059
Avila,2016,653
Badajoz,2016,1474
Illes Balears,2016,14351
Barcelona,2016,69047
Bizkaia,2016,6161
Burgos,2016,1665
Caceres,2016,802
Cadiz,2016,3714
Cantabria,2016,2527
Castello,2016,4227
Ciudad Real,2016,1621
Cordoba,2016,2014
A Coruna,2016,4582
Cuenca,2016,1130
Gipuzkoa,2016,4358
Girona,2016,8798
Granada,2016,4494
Guadalajara,2016,1890
Huelva,2016,2463
Huesca,2016,1391
Jaen,2016,1202
Leon,2016,1372
Lleida,2016,3900
Lugo,2016,1268
Madrid,2016,76500
Malaga,2016,18471
Murcia,2016,10386
Navarra,2016,4746
Ourense,2016,1538
Palencia,2016,436
Las Palmas,2016,13222
Pontevedra,2016,3240
La Rioja,2016,1876
Salamanca,2016,1321
Santa Cruz de Tenerife,2016,16556
Segovia,2016,852
Sevilla,2016,5650
Soria,2016,416
Tarragona,2016,6560
Teruel,2016,674
Toledo,2016,3099
Valencia,2016,19810
Valladolid,2016,1620
Zamora,2016,410
Zaragoza,2016,6395
Ceuta,2016,398
Melilla,2016,638
Albacete,2017,1866
Alacant,2017,31837
Almeria,2017,10218
Araba,2017,2584
Asturias,2017,4579
Avila,2017,830
Badajoz,2017,1677
Illes Balears,2017,19319
Barcelona,2017,92119
Bizkaia,2017,7910
Burgos,2017,2299
Caceres,2017,1024
Cadiz,2017,4712
Cantabria,2017,3237
Castello,2017,4527
Ciudad Real,2017,2023
Cordoba,2017,2137
A Coruna,2017,6381
Cuenca,2017,1288
Gipuzkoa,2017,5626
Girona,2017,10904
Granada,2017,5772
Guadalajara,2017,2586
Huelva,2017,4234
Huesca,2017,1817
Jaen,2017,1195
Leon,2017,1699
Lleida,2017,5024
Lugo,2017,1531
Madrid,2017,101076
Malaga,2017,22738
Murcia,2017,13889
Navarra,2017,6526
Ourense,2017,2127
Palencia,2017,559
Las Palmas,2017,16197
Pontevedra,2017,4399
La Rioja,2017,2178
Salamanca,2017,1861
Santa Cruz de Tenerife,2017,20490
Segovia,2017,1112
Sevilla,2017,7034
Soria,2017,645
Tarragona,2017,8512
Teruel,2017,925
Toledo,2017,4473
Valencia,2017,26218
Valladolid,2017,1991
Zamora,2017,441
Zaragoza,2017,8272
Ceuta,2017,419
Melilla,2017,687
Albacete,2018,2489
Alacant,2018,40465
Almeria,2018,13420
Araba,2018,3156
Asturias,2018,5625
Avila,2018,1148
Badajoz,2018,2242
Illes Balears,2018,22541
Barcelona,2018,106702
Bizkaia,2018,9978
Burgos,2018,2725
Caceres,2018,1288
Cadiz,2018,5838
Cantabria,2018,4248
Castello,2018,6262
Ciudad Real,2018,2672
Cordoba,2018,2556
A Coruna,2018,8303
Cuenca,2018,1796
Gipuzkoa,2018,6829
Girona,2018,13781
Granada,2018,7398
Guadalajara,2018,3345
Huelva,2018,4735
Huesca,2018,2381
Jaen,2018,1557
Leon,2018,2164
Lleida,2018,6530
Lugo,2018,2196
Madrid,2018,123255
Malaga,2018,25484
Murcia,2018,19175
Navarra,2018,8483
Ourense,2018,2833
Palencia,2018,799
Las Palmas,2018,18139
Pontevedra,2018,5886
La Rioja,2018,3062
Salamanca,2018,2462
Santa Cruz de Tenerife,2018,23619
Segovia,2018,1400
Sevilla,2018,8877
Soria,2018,772
Tarragona,2018,11827
Teruel,2018,1018
Toledo,2018,6699
Valencia,2018,33545
Valladolid,2018,2532
Zamora,2018,617
Zaragoza,2018,12457
Ceuta,2018,424
Melilla,2018,918
Albacete,2019,3235
Alacant,2019,45190
Almeria,2019,15340
Araba,2019,3879
Asturias,2019,7053
Avila,2019,1504
Badajoz,2019,2821
Illes Balears,2019,25411
Barcelona,2019,125921
Bizkaia,2019,13009
Burgos,2019,3543
Caceres,2019,1532
Cadiz,2019,7592
Cantabria,2019,5123
Castello,2019,7644
Ciudad Real,2019,3703
Cordoba,2019,3817
A Coruna,2019,8951
Cuenca,2019,2210
Gipuzkoa,2019,8266
Girona,2019,15425
Granada,2019,9096
Guadalajara,2019,3777
Huelva,2019,5257
Huesca,2019,3135
Jaen,2019,2116
Leon,2019,2615
Lleida,2019,7887
Lugo,2019,2732
Madrid,2019,143386
Malaga,2019,31686
Murcia,2019,23325
Navarra,2019,9443
Ourense,2019,2852
Palencia,2019,948
Las Palmas,2019,18968
Pontevedra,2019,7243
La Rioja,2019,3670
Salamanca,2019,2838
Santa Cruz de Tenerife,2019,23131
Segovia,2019,1781
Sevilla,2019,11619
Soria,2019,1213
Tarragona,2019,14274
Teruel,2019,1379
Toledo,2019,8510
Valencia,2019,40989
Valladolid,2019,3310
Zamora,2019,733
Zaragoza,2019,13634
Ceuta,2019,402
Melilla,2019,1135
Albacete,2020,2094
Alacant,2020,31039
Almeria,2020,11099
Araba,2020,2180
Asturias,2020,4019
Avila,2020,997
Badajoz,2020,2036
Illes Balears,2020,16434
Barcelona,2020,73349
Bizkaia,2020,7407
Burgos,2020,2042
Caceres,2020,893
Cadiz,2020,5476
Cantabria,2020,3064
Castello,2020,4909
Ciudad Real,2020,2425
Cordoba,2020,2083
A Coruna,2020,4940
Cuenca,2020,1470
Gipuzkoa,2020,4893
Girona,2020,9601
Granada,2020,7051
Guadalajara,2020,2147
Huelva,2020,3708
Huesca,2020,2051
Jaen,2020,1660
Leon,2020,1500
Lleida,2020,4983
Lugo,2020,1611
Madrid,2020,82174
Malaga,2020,23349
Murcia,2020,16318
Navarra,2020,5556
Ourense,2020,1562
Palencia,2020,562
Las Palmas,2020,12545
Pontevedra,2020,4294
La Rioja,2020,2450
Salamanca,2020,1933
Santa Cruz de Tenerife,2020,12574
Segovia,2020,1055
Sevilla,2020,8438
Soria,2020,769
Tarragona,2020,8599
Teruel,2020,811
Toledo,2020,5302
Valencia,2020,24693
Valladolid,2020,2242
Zamora,2020,458
Zaragoza,2020,7498
Ceuta,2020,440
Melilla,2020,709
Albacete,2021,2334
Alacant,2021,38160
Almeria,2021,12486
Araba,2021,2330
Asturias,2021,4261
Avila,2021,1012
Badajoz,2021,1808
Illes Balears,2021,16931
Barcelona,2021,81900
Bizkaia,2021,6429
Burgos,2021,2349
Caceres,2021,1177
Cadiz,2021,6368
Cantabria,2021,3515
Castello,2021,5881
Ciudad Real,2021,2651
Cordoba,2021,2006
A Coruna,2021,6051
Cuenca,2021,1735
Gipuzkoa,2021,4242
Girona,2021,10274
Granada,2021,7518
Guadalajara,2021,2310
Huelva,2021,4539
Huesca,2021,2053
Jaen,2021,1973
Leon,2021,1705
Lleida,2021,5408
Lugo,2021,1657
Madrid,2021,90762
Malaga,2021,30564
Murcia,2021,18392
Navarra,2021,5836
Ourense,2021,2080
Palencia,2021,637
Las Palmas,2021,11930
Pontevedra,2021,4396
La Rioja,2021,2661
Salamanca,2021,2369
Santa Cruz de Tenerife,2021,14330
Segovia,2021,1144
Sevilla,2021,8493
Soria,2021,779
Tarragona,2021,10087
Teruel,2021,1081
Toledo,2021,5143
Valencia,2021,31791
Valladolid,2021,2837
Zamora,2021,590
Zaragoza,2021,7835
Ceuta,2021,604
Melilla,2021,1070
Albacete,2022,6622
Alacant,2022,84745
Almeria,2022,25241
Araba,2022,6391
Asturias,2022,13467
Avila,2022,3779
Badajoz,2022,5387
Illes Balears,2022,43896
Barcelona,2022,202812
Bizkaia,2022,20050
Burgos,2022,6749
Caceres,2022,3955
Cadiz,2022,14296
Cantabria,2022,9472
Castello,2022,18338
Ciudad Real,2022,7470
Cordoba,2022,6958
A Coruna,2022,16599
Cuenca,2022,5085
Gipuzkoa,2022,12816
Girona,2022,30389
Granada,2022,17554
Guadalajara,2022,7510
Huelva,2022,10455
Huesca,2022,5423
Jaen,2022,4928
Leon,2022,5761
Lleida,2022,13932
Lugo,2022,5048
Madrid,2022,238354
Malaga,2022,61056
Murcia,2022,40902
Navarra,2022,15499
Ourense,2022,5631
Palencia,2022,2063
Las Palmas,2022,28859
Pontevedra,2022,12003
La Rioja,2022,6722
Salamanca,2022,5545
