province,year,value
Almeria,2013,692434
Araba,2013,320199
Asturias,2013,1067425
Avila,2013,169373
Badajoz,2013,690889
Illes Balears,2013,1105131
Barcelona,2013,5500080
Bizkaia,2013,1150032
Burgos,2013,368784
Caceres,2013,410135
Cadiz,2013,1246384
Cantabria,2013,589789
Castello,2013,586696
Ciudad Real,2013,522634
Cordoba,2013,799934
A Coruna,2013,1137890
Cuenca,2013,211356
Gipuzkoa,2013,709043
Girona,2013,750022
Granada,2013,921509
Guadalajara,2013,256825
Huelva,2013,520327
Huesca,2013,224776
Jaen,2013,661647
Leon,2013,488756
Lleida,2013,435838
Lugo,2013,344603
Madrid,2013,6411525
Malaga,2013,1610728
Murcia,2013,1462271
Navarra,2013,639089
Ourense,2013,325140
Palencia,2013,168670
Las Palmas,2013,1094875
Pontevedra,2013,953087
La Rioja,2013,318819
Salamanca,2013,347040
Santa Cruz de Tenerife,2013,1001461
Segovia,2013,161205
Sevilla,2013,1935023
Soria,2013,93373
Tarragona,2013,802724
Teruel,2013,141092
Toledo,2013,703566
Valencia,2013,2548936
Valladolid,2013,530848
Zamora,2013,188878
Zaragoza,2013,971807
Ceuta,2013,84487
Melilla,2013,83669
Albacete,2014,396017
Alacant,2014,1848236
Almeria,2014,690750
Araba,2014,320451
Asturias,2014,1058560
Avila,2014,167265
Badajoz,2014,688697
Illes Balears,2014,1106617
Barcelona,2014,5459762
Bizkaia,2014,1143121
Burgos,2014,365542
Caceres,2014,408011
Cadiz,2014,1245504
Cantabria,2014,587491
Castello,2014,580349
Ciudad Real,2014,518032
Cordoba,2014,796830
A Coruna,2014,1132596
Cuenca,2014,208031
Gipuzkoa,2014,708675
Girona,2014,745189
Granada,2014,919381
Guadalajara,2014,255075
Huelva,2014,520453
Huesca,2014,223702
Jaen,2014,656162
Leon,2014,483681
Lleida,2014,432397
Lugo,2014,341495
Madrid,2014,6372553
Malaga,2014,1618101
Murcia,2014,1462734
Navarra,2014,637099
Ourense,2014,321472
Palencia,2014,167237
Las Palmas,2014,1094856
Pontevedra,2014,950254
