province_norm,year,votes_per100k_used,denuncies_per100k,ordres_per100k,feminicidis_per100k,atur_annual_mean_pct,immigracio_per100k
cadiz,2005,159.21577614675422,2748.367564438019,891.7117332894513,0.0,17.64,2388.2366422013133
cadiz,2006,157.05324597954737,4013.866237886376,901.6963960189382,0.0849855227162053,15.3475,2708.4036234427467
cadiz,2007,154.82158655263933,3207.0185785903864,951.7171121417656,0.0,15.02,3090.3997211871
cadiz,2008,156.73242260354473,3756.6156383393145,1015.6591818319416,0.2481252072879335,19.235,407.421590366787
cadiz,2009,155.19760463348797,3024.510574730718,906.6160861702964,0.0818984721021044,26.79,294.2612102628613
cadiz,2010,154.0845830853344,3092.262108039719,896.8617157948488,0.0813111256386988,30.57,276.6204494228536
cadiz,2011,152.95542983704394,2766.112179691555,786.9738474465322,0.0807152664047725,32.525000000000006,270.0732813903689
cadiz,2012,152.1644693153723,2779.912362901419,967.5893695251906,0.0,36.3775,236.4772359544968
cadiz,2013,152.0398207935917,2995.064121490648,760.6002644449865,0.0802320954055892,39.615,215.58364035481844
cadiz,2014,152.14724320435744,3055.7910693181234,768.3636503776784,0.1605775653871846,42.3075,221.8379065823956
cadiz,2015,152.13954769193467,3023.522620621773,888.7518696304576,0.0,38.32,245.1895401853132
cadiz,2016,138.61266799252695,3006.0869041161936,951.4052110327648,0.0,34.3925,298.4391008256494
cadiz,2017,138.65556350424808,3245.745886551616,1168.7257352763868,0.0,30.28,378.7507334678359
cadiz,2018,138.69491701219792,3341.5424643634465,1022.7242576203812,0.0,27.545,469.3918408795429
cadiz,2019,7033.380363034976,3607.6661094960846,986.9802266113036,0.0804384862763898,24.9025,610.6889878103518
cadiz,2020,7010.968921389396,4030.7578819076944,958.978799833221,0.2405465216972962,22.9325,439.0775842714648
cadiz,2021,6995.750768278057,4165.223186675767,1044.9061624661065,0.1600162576517774,25.7925,509.49176436325934
cadiz,2022,6991.991491709615,4414.875114450099,949.1861548364914,0.0,23.4675,1143.1815728342444
cadiz,2023,7707.595870794172,4264.200320990448,817.6171798423098,0.2390693508310847,22.255,1122.8290510699949
cadiz,2024,7683.935395199925,4684.880792544866,792.8626472714561,0.0,20.9725,
cantabria,2000,123.697255582531,,,,,
cantabria,2003,123.697255582531,1454.8274238661854,0.0,0.1846227695261656,10.41,2525.085618809368
cantabria,2004,131.38470353589085,1534.6463288011694,618.6029791481527,0.364957509821919,10.5625,2986.082345362941
cantabria,2005,129.80223187726477,1180.8397483278948,490.3639870918891,0.0,8.504999999999999,3704.231192197444
cantabria,2006,128.33263819820976,2037.28063139658,630.9688044745313,0.0,6.465,4248.166803911294
cantabria,2007,126.71817525827628,1974.691564441472,644.1507242295711,0.3519949312729897,5.9625,4715.852091729878
cantabria,2008,154.34825539699204,2103.016633579666,720.6383192497046,0.0,7.16,1011.3188720624462
cantabria,2009,152.39756779639276,2004.6010040109124,682.453754778459,0.0,12.0,640.8907817430793
cantabria,2010,151.39723848718305,2091.694731512035,559.0313295430217,0.0,13.7,471.8632225352496
cantabria,2011,150.79357020278437,1976.732772130776,512.7996831811859,0.0,15.3,474.7204987865433
cantabria,2012,150.40843232548994,1867.0227402019289,538.4993256097787,0.0,17.7925,352.4722858536734
cantabria,2013,151.07097623048244,1927.8080805169309,557.8266125682236,0.1695521618748399,20.4475,283.8303189784821
cantabria,2014,151.66189779928544,2093.64909419889,646.8184193459986,0.0,19.4175,288.855488850042
cantabria,2015,152.2598020451687,2267.662820582928,601.520205610543,0.1708864220484497,17.6475,319.7284956526494
cantabria,2016,122.40469429728032,2587.1511122861352,576.8299759310826,0.0,14.9075,433.82421106483497
cantabria,2017,122.63058953838956,3281.615215136708,509.0975386165962,0.0,13.565,556.7394366560547
cantabria,2018,122.60697157341028,3439.18573838458,605.2966899556861,0.0,10.675,730.4830508328848
cantabria,2019,6896.865748321704,3443.364049835993,479.3905039442327,0.3436491067700592,10.28,880.2571869915067
cantabria,2020,6884.775758947944,2861.00948352604,488.84154844419743,0.1715233503312973,12.165,525.5475454150951
cantabria,2021,6864.794051047703,3246.06470238136,622.5329566210827,0.1710255375332644,11.265,601.1547644294246
cantabria,2022,6856.093603211205,3788.538730890768,691.7755572636433,0.0,9.575,1617.900760099069
cantabria,2023,8369.151595803442,4235.307714140523,824.2874162753426,0.0,8.1425,1568.695433447714
cantabria,2024,8334.250090124244,4161.793751724208,785.3079710451535,0.0,7.8475,
castello,2000,60.306212730165406,,,,,
castello,2003,60.306212730165406,1608.8269251369784,0.0,0.1983756997702809,6.7625,8686.673517240832
castello,2004,97.263123767325,2342.806195506598,831.7540941213704,0.0,8.52,10082.750848157595
castello,2005,94.4483485593816,1954.5561021316469,629.6556570625439,0.0,7.4775,12300.39821972359
castello,2006,91.90790973330294,3687.257807157511,977.4333257351263,0.3647139275131069,6.2575,14194.84841577388
castello,2007,88.8030615912663,2218.3145742738943,932.0797536067436,0.352393101552644,6.8025,15544.235906037904
castello,2008,72.27706776187682,2113.8916524238325,935.350288683112,0.0,10.685,1098.2713026028248
castello,2009,71.46015801942707,2796.193947913111,877.6988820268455,0.3362830965620098,19.635,843.2298646292394
castello,2010,71.32631706142287,3202.132069486937,859.2723373046708,0.335653256759637,23.9025,713.5988238709883
castello,2011,71.35973027701009,2760.3622723624603,846.2424484614843,0.1679052477106119,25.965,654.4946555759653
castello,2012,71.55797711491707,2912.8305978542708,782.928455492622,0.0,27.19,496.6965470329537
castello,2013,72.43955984018982,2812.359382030899,639.1725868252042,0.1704460231533877,29.125,439.9211857588938
castello,2014,73.23179672920949,2603.6057613608364,801.2420112725274,0.0,27.0825,545.7061182150741
castello,2015,73.56275682056572,2639.604803561476,668.1229207703146,0.0,22.5025,594.2139862705933
castello,2016,71.06295587146813,2835.568312524108,752.3290927223889,0.1737480583654477,19.4975,734.4330427107477
castello,2017,71.07691077849202,3263.629301760587,813.300592771009,0.3475643558850466,16.7225,786.7119195458029
castello,2018,70.96480908904782,3038.1266678465217,869.2755343181653,0.1735080906822685,15.525,1086.507663852365
castello,2019,4469.178318541319,3283.34414553686,952.3940979171556,0.1725351626661513,13.7525,1318.858783420061
castello,2020,4433.919147690606,3387.532715623561,703.5249854074198,0.1711739623862335,14.285,840.2929813540202
castello,2021,4408.030876466904,3192.4742015411007,723.2417567457185,0.1701745309989925,13.8225,1000.7964168050752
castello,2022,4380.686622695755,6593.945543717234,781.3292744799595,0.0,12.1875,3101.302215457467
castello,2023,5309.839989670345,6414.649569763245,832.6628989912032,0.3310786874716513,14.7575,2997.25535768086
