province_norm,year,votes,province
tarragona,2000,314,Tarragona
tarragona,2004,661,Tarragona
tarragona,2008,842,Tarragona
tarragona,2011,3097,Tarragona
tarragona,2016,0,Tarragona
tarragona,2019,20105,Tarragona
tarragona,2023,38039,Tarragona
teruel,2000,113,Teruel
teruel,2004,160,Teruel
teruel,2008,174,Teruel
teruel,2011,0,Teruel
teruel,2016,160,Teruel
teruel,2019,8336,Teruel
teruel,2023,9932,Teruel
toledo,2000,221,Toledo
toledo,2004,353,Toledo
toledo,2008,208,Toledo
toledo,2011,0,Toledo
toledo,2016,0,Toledo
toledo,2019,12887,Toledo
toledo,2023,13652,Toledo
valencia,2000,698,Valencia
valencia,2004,915,Valencia
valencia,2008,1044,Valencia
valencia,2011,0,Valencia
valencia,2016,1026,Valencia
valencia,2019,38187,Valencia
valencia,2023,34410,Valencia
valladolid,2000,239,Valladolid
valladolid,2004,653,Valladolid
valladolid,2008,681,Valladolid
valladolid,2011,0,Valladolid
valladolid,2016,620,Valladolid
valladolid,2019,33653,Valladolid
valladolid,2023,35451,Valladolid
zamora,2000,242,Zamora
zamora,2004,364,Zamora
zamora,2008,253,Zamora
zamora,2011,234,Zamora
zamora,2016,184,Zamora
zamora,2019,12506,Zamora
zamora,2023,12575,Zamora
zaragoza,2000,658,Zaragoza
zaragoza,2004,1463,Zaragoza
zaragoza,2008,1351,Zaragoza
zaragoza,2011,0,Zaragoza
zaragoza,2016,1614,Zaragoza
zaragoza,2019,70663,Zaragoza
zaragoza,2023,79648,Zaragoza
