province_norm,year,votes,province_votes,province_pop,population,votes_per100k
leon,2008,215,Leon,Leon,493938.0,43.5277302009564
leon,2011,0,Leon,Leon,494211.0,0.0
leon,2016,274,Leon,Leon,473574.0,57.85790605058555
leon,2019,16755,Leon,Leon,460247.0,3640.4365482012918
leon,2023,17700,Leon,Leon,448573.0,3945.846049583903
lleida,2000,200,Lleida,,,
lleida,2004,297,Lleida,Lleida,380554.0,78.04411463287732
lleida,2008,473,Lleida,Lleida,423484.0,111.69253147698613
lleida,2011,1074,Lleida,Lleida,436689.0,245.94161977975173
lleida,2016,198,Lleida,Lleida,429806.0,46.0672954774945
lleida,2019,6005,Lleida,Lleida,432917.0,1387.1019156096895
lleida,2023,12560,Lleida,Lleida,447343.0,2807.688954560594
lugo,2000,4197,Lugo,,,
lugo,2004,13903,Lugo,Lugo,354345.0,3923.57730460427
lugo,2008,11915,Lugo,Lugo,352633.0,3378.8669806853013
lugo,2011,0,Lugo,Lugo,349525.0,0.0
lugo,2016,20749,Lugo,Lugo,335752.0,6179.858943505921
lugo,2019,524176,Lugo,Lugo,329070.0,159290.12064302427
lugo,2023,507915,Lugo,Lugo,324267.0,156634.81020270335
madrid,2000,293,Madrid,,,
madrid,2004,534,Madrid,Madrid,5766566.0,9.260277260331364
madrid,2008,701,Madrid,Madrid,6226195.0,11.258882832934079
madrid,2011,0,Madrid,Madrid,6394239.0,0.0
madrid,2016,0,Madrid,Madrid,6411466.0,0.0
madrid,2019,6783,Madrid,Madrid,6618078.0,102.49199238812234
madrid,2023,7877,Madrid,Madrid,6871903.0,114.626181423108
malaga,2000,722,Malaga,,,
malaga,2004,2278,Malaga,Malaga,1373760.0,165.8222688096902
malaga,2008,2112,Malaga,Malaga,1529003.0,138.12922538412286
malaga,2011,0,Malaga,Malaga,1581343.0,0.0
malaga,2016,1770,Malaga,Malaga,1638378.0,108.03367721002114
malaga,2019,114199,Malaga,Malaga,1660348.0,6878.015934009014
malaga,2023,129758,Malaga,Malaga,1752728.0,7403.202322322689
melilla,2000,86,Melilla,,,
melilla,2004,98,Melilla,Melilla,64754.0,151.3420020384841
melilla,2008,44,Melilla,Melilla,71244.0,61.75958677221942
melilla,2011,0,Melilla,Melilla,78863.0,0.0
melilla,2016,0,Melilla,Melilla,85457.0,0.0
melilla,2019,5807,Melilla,Melilla,86373.0,6723.165804128605
melilla,2023,4359,Melilla,Melilla,85493.0,5098.663048436714
murcia,2000,668,Murcia,,,
