Provincia;Any - Trimestre;Percentatge
Araba;2004T4;9,9
Araba;2004T3;8,69
Araba;2004T2;9,09
Araba;2004T1;9,85
Araba;2003T4;9,49
Araba;2003T3;10,26
Araba;2003T2;8,54
Araba;2003T1;9,09
Araba;2002T4;9,56
Araba;2002T3;10,31
Araba;2002T2;8,25
Araba;2002T1;7,98
Asturias;2024T4;8,09
Asturias;2024T3;9,26
Asturias;2024T2;11,79
Asturias;2024T1;11,4
Asturias;2023T4;11,62
Asturias;2023T3;13,39
Asturias;2023T2;10,38
Asturias;2023T1;13,1
Asturias;2022T4;14,18
Asturias;2022T3;12,59
Asturias;2022T2;11,6
Asturias;2022T1;11,68
Asturias;2021T4;10,1
Asturias;2021T3;12,09
Asturias;2021T2;13,42
Asturias;2021T1;13,73
Asturias;2020T4;13,5
Asturias;2020T3;14,16
Asturias;2020T2;14,45
Asturias;2020T1;14,37
Asturias;2019T4;13,14
Asturias;2019T3;14,43
Asturias;2019T2;14,17
Asturias;2019T1;15,03
Asturias;2018T4;12,86
Asturias;2018T3;13,45
Asturias;2018T2;13,1
Asturias;2018T1;15,02
Asturias;2017T4;14,64
Asturias;2017T3;12,95
Asturias;2017T2;13,03
Asturias;2017T1;14,23
Asturias;2016T4;14,59
Asturias;2016T3;17,05
Asturias;2016T2;19,29
Asturias;2016T1;19,5
Asturias;2015T4;20,33
Asturias;2015T3;16,97
Asturias;2015T2;20,15
Asturias;2015T1;18,99
Asturias;2014T4;20,78
Asturias;2014T3;19,96
Asturias;2014T2;21,02
Asturias;2014T1;22,75
Asturias;2013T4;22,29
Asturias;2013T3;24,15
Asturias;2013T2;24,56
Asturias;2013T1;25,51
Asturias;2012T4;23,82
Asturias;2012T3;21,83
Asturias;2012T2;21,12
Asturias;2012T1;20,52
Asturias;2011T4;18,84
Asturias;2011T3;17,19
Asturias;2011T2;17,17
Asturias;2011T1;18,16
Asturias;2010T4;16,61
Asturias;2010T3;14,1
Asturias;2010T2;16,35
Asturias;2010T1;16,6
Asturias;2009T4;14,13
Asturias;2009T3;13,54
Asturias;2009T2;13,94
Asturias;2009T1;12,07
Asturias;2008T4;10
Asturias;2008T3;7,6
Asturias;2008T2;7,84
Asturias;2008T1;8,56
Asturias;2007T4;8
Asturias;2007T3;7,13
Asturias;2007T2;9,1
Asturias;2007T1;9,44
Asturias;2006T4;9,09
Asturias;2006T3;9,41
Asturias;2006T2;8,09
Asturias;2006T1;10,06
Asturias;2005T4;9,3
Asturias;2005T3;8,99
Asturias;2005T2;10,68
Asturias;2005T1;11,18
Asturias;2004T4;10,24
Asturias;2004T3;9,25
Asturias;2004T2;10,34
Asturias;2004T1;11,46
Asturias;2003T4;10,14
Asturias;2003T3;11,8
Asturias;2003T2;10,82
Asturias;2003T1;12,44
Asturias;2002T4;10,12
Asturias;2002T3;9,67
Asturias;2002T2;10,28
Asturias;2002T1;9,15
Avila;2024T4;9,47
Avila;2024T3;11,18
Avila;2024T2;10,31
Avila;2024T1;13,61
Avila;2023T4;11,27
Avila;2023T3;10,51
Avila;2023T2;11,91
Avila;2023T1;12,85
Avila;2022T4;11,39
Avila;2022T3;13,81
Avila;2022T2;15,2
Avila;2022T1;15,34
Avila;2021T4;15,66
Avila;2021T3;11,73
Avila;2021T2;18,5
Avila;2021T1;16,07
Avila;2020T4;16,06
Avila;2020T3;15,43
Avila;2020T2;13,38
Avila;2020T1;12,85
Avila;2019T4;13,57
Avila;2019T3;12,65
Avila;2019T2;14,72
Avila;2019T1;17,87
Avila;2018T4;13,53
Avila;2018T3;15,26
Avila;2018T2;18,05
Avila;2018T1;18,85
Avila;2017T4;18,34
Avila;2017T3;14,45
Avila;2017T2;18,92
Avila;2017T1;20,15
Avila;2016T4;17,16
Avila;2016T3;19,57
Avila;2016T2;21,43
Avila;2016T1;26,77
Avila;2015T4;21,08
Avila;2015T3;21,01
Avila;2015T2;23,93
Avila;2015T1;25,92
Avila;2014T4;25,33
Avila;2014T3;23,6
Avila;2014T2;26,64
Avila;2014T1;28,6
Avila;2013T4;25,48
Avila;2013T3;23,71
Avila;2013T2;25,87
