outcome,spec,term,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.araba],543.5829851492414,34.06575937358537,2.552024239749304e-57,476.8153236710063,610.3506466274764,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.asturias],501.1278389851106,16.949488555318602,4.095522913126809e-192,467.90745186031234,534.3482261099089,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.avila],164.50081726316506,42.987579452404525,0.0001298696052976,80.24670975389813,248.754924772432,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.badajoz],233.3806247729817,127.67947055270804,0.0675700627077804,-16.866539075468495,483.6277886214318,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.barcelona],558.8505331731395,38.63610261131731,2.0318022058713567e-47,483.1251635519636,634.5759027943154,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.bizkaia],217.80242300065555,15.029685220531308,1.371500548428783e-47,188.34478126944023,247.26006473187084,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.burgos],139.2910443364111,21.03602760853662,3.5545909608587576e-11,98.06118784588908,180.52090082693312,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.caceres],-31.827016628249908,91.61225776851695,0.7282833040548262,-211.38374239694292,147.72970914044313,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.cadiz],1450.1972145602258,180.8945089851672,1.0852530499482413e-15,1095.6504919482409,1804.7439371722107,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.cantabria],542.64267960434,12.143235161132749,0.0,518.8423760327194,566.4429831759605,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.castello],1262.584255185297,57.74048171418916,5.411452504450034e-106,1149.4149905754928,1375.7535197951013,1092,0.7796760549396573,0.7636446174426412
